,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2015-09-30 23:59:59.999999999,18.098897,-13.667712974350659,26.92618300172658,18.098897,18.098897,-12.482230341015951,-12.482230341015951,-12.482230341015951,-12.482230341015951,-12.482230341015951,-12.482230341015951,0.0,0.0,0.0,5.61666665898405
1,2016-03-31 23:59:59.999999999,20.492830834628975,-7.98959327849332,33.80271166581365,20.492830834628975,20.492830834628975,-7.3494196326024435,-7.3494196326024435,-7.3494196326024435,-7.3494196326024435,-7.3494196326024435,-7.3494196326024435,0.0,0.0,0.0,13.143411202026531
2,2016-06-30 23:59:59.999999999,21.683256950144266,1.3191116009962423,42.09143263059597,21.683256950144266,21.683256950144266,-0.26530759826073314,-0.26530759826073314,-0.26530759826073314,-0.26530759826073314,-0.26530759826073314,-0.26530759826073314,0.0,0.0,0.0,21.417949351883532
3,2016-09-30 23:59:59.999999999,22.886764670437508,-2.3612882936637156,37.76479715503673,22.886764670437508,22.886764670437508,-4.156977142642884,-4.156977142642884,-4.156977142642884,-4.156977142642884,-4.156977142642884,-4.156977142642884,0.0,0.0,0.0,18.729787527794624
4,2016-12-31 23:59:59.999999999,24.090272390875498,-11.315821653749612,29.532220475854903,24.090272390875498,24.090272390875498,-14.605509417505386,-14.605509417505386,-14.605509417505386,-14.605509417505386,-14.605509417505386,-14.605509417505386,0.0,0.0,0.0,9.484762973370112
5,2017-03-31 23:59:59.999999999,25.2676168992855,-2.344004521820017,39.554950556136355,25.2676168992855,25.2676168992855,-6.454074486872811,-6.454074486872811,-6.454074486872811,-6.454074486872811,-6.454074486872811,-6.454074486872811,0.0,0.0,0.0,18.813542412412687
6,2017-06-30 23:59:59.999999999,26.458043013679205,5.003227018884826,45.644160340494494,26.458043013679205,26.458043013679205,-1.1591669100242679,-1.1591669100242679,-1.1591669100242679,-1.1591669100242679,-1.1591669100242679,-1.1591669100242679,0.0,0.0,0.0,25.298876103654937
7,2017-09-30 23:59:59.999999999,27.661550733324706,-0.2171662867482556,41.132020400947695,27.661550733324706,27.661550733324706,-6.915940122386406,-6.915940122386406,-6.915940122386406,-6.915940122386406,-6.915940122386406,-6.915940122386406,0.0,0.0,0.0,20.7456106109383
8,2017-12-31 23:59:59.999999999,28.865058453146588,-7.793422732021578,32.05447894725785,28.865058453146588,28.865058453146588,-16.431938737642145,-16.431938737642145,-16.431938737642145,-16.431938737642145,-16.431938737642145,-16.431938737642145,0.0,0.0,0.0,12.433119715504443
9,2018-03-31 23:59:59.999999999,30.042402963084974,2.3801804025735014,44.15179774719445,30.042402963084974,30.042402963084974,-5.564418566717473,-5.564418566717473,-5.564418566717473,-5.564418566717473,-5.564418566717473,-5.564418566717473,0.0,0.0,0.0,24.477984396367503
10,2018-06-30 23:59:59.999999999,31.23282907834056,8.364443898659808,51.50350370878303,31.23282907834056,31.23282907834056,-2.1661723992374164,-2.1661723992374164,-2.1661723992374164,-2.1661723992374164,-2.1661723992374164,-2.1661723992374164,0.0,0.0,0.0,29.066656679103144
11,2018-09-30 23:59:59.999999999,32.4363367988503,1.5640676532465825,43.97361713921335,32.4363367988503,32.4363367988503,-9.691138436479514,-9.691138436479514,-9.691138436479514,-9.691138436479514,-9.691138436479514,-9.691138436479514,0.0,0.0,0.0,22.745198362370786
12,2018-12-31 23:59:59.999999999,33.639844518922025,-4.179897834395515,37.940443755236785,33.639844518922025,33.639844518922025,-17.933033263409587,-17.933033263409587,-17.933033263409587,-17.933033263409587,-17.933033263409587,-17.933033263409587,0.0,0.0,0.0,15.706811255512438
13,2019-03-31 23:59:59.999999999,34.81718902748792,9.141874847111414,51.495681674347914,34.81718902748792,34.81718902748792,-4.6779306112441095,-4.6779306112441095,-4.6779306112441095,-4.6779306112441095,-4.6779306112441095,-4.6779306112441095,0.0,0.0,0.0,30.139258416243813
14,2019-06-30 23:59:59.999999999,36.00761514129729,12.017464675027002,53.74505516779855,36.00761514129729,36.00761514129729,-3.285838310386958,-3.285838310386958,-3.285838310386958,-3.285838310386958,-3.285838310386958,-3.285838310386958,0.0,0.0,0.0,32.721776830910336
15,2019-09-30 23:59:59.999999999,37.21112286002042,4.632040824107119,45.88961854072406,37.21112286002042,37.21112286002042,-12.482230341095521,-12.482230341095521,-12.482230341095521,-12.482230341095521,-12.482230341095521,-12.482230341095521,0.0,0.0,0.0,24.728892518924894
16,2019-12-31 23:59:59.999999999,38.4146305783584,0.4923724606396729,39.6680932544424,38.4146305783584,38.4146305783584,-19.107573689386047,-19.107573689386047,-19.107573689386047,-19.107573689386047,-19.107573689386047,-19.107573689386047,0.0,0.0,0.0,19.30705688897235
17,2020-03-31 23:59:59.999999999,39.60505669208665,10.431530246111183,51.32162516267036,39.60505669208665,39.60505669208665,-7.349419632566353,-7.349419632566353,-7.349419632566353,-7.349419632566353,-7.349419632566353,-7.349419632566353,0.0,0.0,0.0,32.255637059520296
18,2020-06-30 23:59:59.999999999,40.79548280548325,21.155260747119083,62.218357015135496,40.79548280548325,40.79548280548325,-0.2653075982558105,-0.2653075982558105,-0.2653075982558105,-0.2653075982558105,-0.2653075982558105,-0.2653075982558105,0.0,0.0,0.0,40.530175207227444
19,2020-09-30 23:59:59.999999999,41.99899052533917,17.768878056847633,57.753442632058444,41.99899052533917,41.99899052533917,-4.156977142711279,-4.156977142711279,-4.156977142711279,-4.156977142711279,-4.156977142711279,-4.156977142711279,0.0,0.0,0.0,37.84201338262789
